"artifact","moduleUrl","moduleLicense","moduleLicenseUrl",
"com.google.guava:guava-parent:32.1.2-jre","https://github.com/google/guava","Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",
"com.google.guava:listenablefuture:9999.0-empty-to-avoid-conflict-with-guava",,"Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",
"com.nimbusds:nimbus-jose-jwt:10.5","https://connect2id.com","Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",
"io.jsonwebtoken:jjwt-api:0.13.0","https://github.com/jwtk/jjwt","Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",
"io.jsonwebtoken:jjwt-impl:0.13.0","https://github.com/jwtk/jjwt","Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",
"io.jsonwebtoken:jjwt-jackson:0.13.0","https://github.com/jwtk/jjwt","Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",
"io.lettuce:lettuce-core:6.6.0.RELEASE","https://github.com/redis/lettuce","MIT","https://opensource.org/licenses/MIT",
"io.micrometer:context-propagation:1.1.3","https://github.com/micrometer-metrics/context-propagation","Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",
"io.micrometer:micrometer-commons:1.15.4","https://github.com/micrometer-metrics/micrometer","Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",
"io.micrometer:micrometer-core:1.15.4","https://github.com/micrometer-metrics/micrometer","Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",
"io.micrometer:micrometer-jakarta9:1.15.4","https://github.com/micrometer-metrics/micrometer","Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",
"io.micrometer:micrometer-observation:1.15.4","https://github.com/micrometer-metrics/micrometer","Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",
"io.micrometer:micrometer-registry-prometheus:1.15.4","https://github.com/micrometer-metrics/micrometer","Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",
"io.micrometer:micrometer-tracing:1.5.4","https://github.com/micrometer-metrics/tracing","Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",
"io.micrometer:micrometer-tracing-bridge-otel:1.5.4","https://github.com/micrometer-metrics/tracing","Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",
"io.netty:netty-buffer:4.1.127.Final","https://netty.io/","Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",
"io.netty:netty-codec:4.1.127.Final","https://netty.io/","Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",
"io.netty:netty-common:4.1.127.Final","https://netty.io/","Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",
"io.netty:netty-handler:4.1.127.Final","https://netty.io/","Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",
"io.netty:netty-resolver:4.1.127.Final","https://netty.io/","Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",
"io.netty:netty-transport:4.1.127.Final","https://netty.io/","Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",
"io.netty:netty-transport-native-unix-common:4.1.127.Final","https://netty.io/","Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",
"io.opentelemetry:opentelemetry-api:1.49.0","https://github.com/open-telemetry/opentelemetry-java","Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",
"io.opentelemetry:opentelemetry-context:1.49.0","https://github.com/open-telemetry/opentelemetry-java","Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",
"io.opentelemetry:opentelemetry-extension-trace-propagators:1.49.0","https://github.com/open-telemetry/opentelemetry-java","Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",
"io.opentelemetry:opentelemetry-sdk:1.49.0","https://github.com/open-telemetry/opentelemetry-java","Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",
"io.opentelemetry:opentelemetry-sdk-common:1.49.0","https://github.com/open-telemetry/opentelemetry-java","Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",
"io.opentelemetry:opentelemetry-sdk-logs:1.49.0","https://github.com/open-telemetry/opentelemetry-java","Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",
"io.opentelemetry:opentelemetry-sdk-metrics:1.49.0","https://github.com/open-telemetry/opentelemetry-java","Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",
"io.opentelemetry:opentelemetry-sdk-trace:1.49.0","https://github.com/open-telemetry/opentelemetry-java","Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",
"io.opentelemetry.semconv:opentelemetry-semconv:1.32.0","https://github.com/open-telemetry/semantic-conventions-java","Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",
"io.projectreactor:reactor-core:3.7.11","https://github.com/reactor/reactor-core","Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",
"io.prometheus:prometheus-metrics-config:1.3.10",,"Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",
"io.prometheus:prometheus-metrics-core:1.3.10",,"Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",
"io.prometheus:prometheus-metrics-exposition-formats:1.3.10",,"Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",
"io.prometheus:prometheus-metrics-exposition-textformats:1.3.10",,"Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",
"io.prometheus:prometheus-metrics-model:1.3.10",,"Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",
"io.prometheus:prometheus-metrics-tracer-common:1.3.10",,"Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",
"io.swagger.core.v3:swagger-annotations-jakarta:2.2.36","https://github.com/swagger-api/swagger-core/modules/swagger-annotations","Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",
"io.swagger.core.v3:swagger-core-jakarta:2.2.36","https://github.com/swagger-api/swagger-core/modules/swagger-core","Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",
"io.swagger.core.v3:swagger-models-jakarta:2.2.36","https://github.com/swagger-api/swagger-core/modules/swagger-models","Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",
"jakarta.activation:jakarta.activation-api:2.1.4","https://www.eclipse.org","Public-Domain",,
"jakarta.annotation:jakarta.annotation-api:2.1.1","https://www.eclipse.org","GPL-2.0 WITH Classpath-exception-2.0","https://openjdk.java.net/legal/gplv2+ce.html",
"jakarta.validation:jakarta.validation-api:3.0.2","https://www.eclipse.org","GPL-2.0 WITH Classpath-exception-2.0","https://openjdk.java.net/legal/gplv2+ce.html",
"jakarta.xml.bind:jakarta.xml.bind-api:4.0.2","https://www.eclipse.org","GPL-2.0 WITH Classpath-exception-2.0","https://openjdk.java.net/legal/gplv2+ce.html",
"org.apache.commons:commons-lang3:3.17.0","https://commons.apache.org/proper/commons-lang/","Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",
"org.apache.httpcomponents.client5:httpclient5:5.5",,"Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",
"org.apache.httpcomponents.core5:httpcore5:5.3.5",,"Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",
"org.apache.httpcomponents.core5:httpcore5-h2:5.3.5",,"Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",
"org.apache.kafka:kafka-clients:3.9.1","https://kafka.apache.org","CDDL-1.1","https://oss.oracle.com/licenses/CDDL-1.1",
"org.apache.logging.log4j:log4j-api:2.24.3",,"Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",
"org.apache.logging.log4j:log4j-to-slf4j:2.24.3",,"Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",
"org.apache.tomcat.embed:tomcat-embed-core:10.1.46","https://tomcat.apache.org/","EPL-2.0","https://www.eclipse.org/org/documents/epl-2.0/EPL-2.0.txt",
"org.apache.tomcat.embed:tomcat-embed-el:10.1.46","https://tomcat.apache.org/","Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",
"org.apache.tomcat.embed:tomcat-embed-websocket:10.1.46","https://tomcat.apache.org/","Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",
"org.bouncycastle:bcprov-jdk18on:1.82","https://www.bouncycastle.org/download/bouncy-castle-java/","Bouncy Castle Licence","https://www.bouncycastle.org/licence.html",
"org.checkerframework:checker-qual:3.33.0","https://checkerframework.org/","MIT","https://opensource.org/licenses/MIT",
"org.codehaus.janino:commons-compiler:3.1.12",,"BSD-3-Clause","https://opensource.org/licenses/BSD-3-Clause",
"org.codehaus.janino:janino:3.1.12",,"BSD-3-Clause","https://opensource.org/licenses/BSD-3-Clause",
"org.hdrhistogram:HdrHistogram:2.2.2","http://hdrhistogram.github.io/HdrHistogram/","Public-Domain","http://creativecommons.org/publicdomain/zero/1.0/",
"org.hibernate.validator:hibernate-validator:8.0.3.Final","https://hibernate.org/validator","Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",
"org.jboss.logging:jboss-logging:3.6.1.Final","http://www.jboss.org","Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",
"org.jspecify:jspecify:1.0.0","https://jspecify.dev/docs/start-here","Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",
"org.latencyutils:LatencyUtils:2.0.3","http://latencyutils.github.io/LatencyUtils/","Public-Domain","http://creativecommons.org/publicdomain/zero/1.0/",
"org.lz4:lz4-java:1.8.0","https://github.com/lz4/lz4-java","Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",
"org.mongodb:bson:5.5.1","https://bsonspec.org","Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",
"org.mongodb:bson-record-codec:5.5.1","https://bsonspec.org","Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",
"org.mongodb:mongodb-driver-core:5.5.1","https://www.mongodb.com/","Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",
"org.mongodb:mongodb-driver-sync:5.5.1","https://www.mongodb.com/","Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",
"org.openapitools:jackson-databind-nullable:0.2.7","https://github.com/OpenAPITools/jackson-databind-nullable","Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",
"org.reactivestreams:reactive-streams:1.0.4","http://www.reactive-streams.org/","MIT-0","https://spdx.org/licenses/MIT-0.html",
"org.slf4j:jul-to-slf4j:2.0.17","http://www.slf4j.org","MIT","https://opensource.org/licenses/MIT",
"org.slf4j:slf4j-api:2.0.17","http://www.slf4j.org","MIT","https://opensource.org/licenses/MIT",
"org.springdoc:springdoc-openapi-starter-common:2.8.13",,"Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",
"org.springdoc:springdoc-openapi-starter-webmvc-api:2.8.13",,"Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",
"org.springdoc:springdoc-openapi-starter-webmvc-ui:2.8.13",,"Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",
"org.springframework:spring-aop:6.2.11","https://github.com/spring-projects/spring-framework","Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",
"org.springframework:spring-beans:6.2.11","https://github.com/spring-projects/spring-framework","Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",
"org.springframework:spring-context:6.2.11","https://github.com/spring-projects/spring-framework","Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",
"org.springframework:spring-context-support:6.2.11","https://github.com/spring-projects/spring-framework","Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",
"org.springframework:spring-core:6.2.11","https://github.com/spring-projects/spring-framework","Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",
"org.springframework:spring-expression:6.2.11","https://github.com/spring-projects/spring-framework","Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",
"org.springframework:spring-jcl:6.2.11","https://github.com/spring-projects/spring-framework","Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",
"org.springframework:spring-oxm:6.2.11","https://github.com/spring-projects/spring-framework","Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",
"org.springframework:spring-tx:6.2.11","https://github.com/spring-projects/spring-framework","Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",
"org.springframework:spring-web:6.2.11","https://github.com/spring-projects/spring-framework","Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",
"org.springframework:spring-webmvc:6.2.11","https://github.com/spring-projects/spring-framework","Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",
"org.springframework.boot:spring-boot:3.5.6","https://spring.io/projects/spring-boot","Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",
"org.springframework.boot:spring-boot-actuator:3.5.6","https://spring.io/projects/spring-boot","Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",
"org.springframework.boot:spring-boot-actuator-autoconfigure:3.5.6","https://spring.io/projects/spring-boot","Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",
"org.springframework.boot:spring-boot-autoconfigure:3.5.6","https://spring.io/projects/spring-boot","Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",
"org.springframework.boot:spring-boot-starter:3.5.6","https://spring.io/projects/spring-boot","Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",
"org.springframework.boot:spring-boot-starter-actuator:3.5.6","https://spring.io/projects/spring-boot","Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",
"org.springframework.boot:spring-boot-starter-cache:3.5.6","https://spring.io/projects/spring-boot","Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",
"org.springframework.boot:spring-boot-starter-data-mongodb:3.5.6","https://spring.io/projects/spring-boot","Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",
"org.springframework.boot:spring-boot-starter-data-redis:3.5.6","https://spring.io/projects/spring-boot","Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",
"org.springframework.boot:spring-boot-starter-json:3.5.6","https://spring.io/projects/spring-boot","Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",
"org.springframework.boot:spring-boot-starter-logging:3.5.6","https://spring.io/projects/spring-boot","Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",
"org.springframework.boot:spring-boot-starter-security:3.5.6","https://spring.io/projects/spring-boot","Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",
"org.springframework.boot:spring-boot-starter-tomcat:3.5.6","https://spring.io/projects/spring-boot","Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",
"org.springframework.boot:spring-boot-starter-validation:3.5.6","https://spring.io/projects/spring-boot","Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",
"org.springframework.boot:spring-boot-starter-web:3.5.6","https://spring.io/projects/spring-boot","Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",
"org.springframework.data:spring-data-commons:3.5.4","https://spring.io/projects/spring-data","Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",
"org.springframework.data:spring-data-keyvalue:3.5.4",,"Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",
"org.springframework.data:spring-data-mongodb:4.5.4",,"Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",
"org.springframework.data:spring-data-redis:3.5.4","https://spring.io/projects/spring-data-redis","Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",
"org.springframework.security:spring-security-config:6.5.5","https://spring.io/projects/spring-security","Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",
"org.springframework.security:spring-security-core:6.5.5","https://spring.io/projects/spring-security","Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",
"org.springframework.security:spring-security-crypto:6.5.5","https://spring.io/projects/spring-security","Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",
"org.springframework.security:spring-security-web:6.5.5","https://spring.io/projects/spring-security","Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",
"org.webjars:swagger-ui:5.28.1","https://www.webjars.org","Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",
"org.webjars:webjars-locator-lite:1.1.0","https://webjars.org","MIT","https://opensource.org/licenses/MIT",
"org.xerial.snappy:snappy-java:1.1.10.5","https://github.com/xerial/snappy-java","Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",
"org.yaml:snakeyaml:2.4","https://bitbucket.org/snakeyaml/snakeyaml","Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",
"redis.clients.authentication:redis-authx-core:0.1.1-beta2","https://github.com/redis/redis-authx-core","MIT","https://opensource.org/licenses/MIT",
